budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,35689,"[{""id"": 10183, ""name"": ""independent film""}]",en,Don McKay,Everything appears off-kilter when a man returns to his hometown after 25 years to visit his former lover.,1.496454,"[{""name"": ""Animus Films"", ""id"": 4135}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-04-24,0,87.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Some secrets are better left buried.,Don McKay,5.4,21
39000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://movies.disney.com/frankenweenie-2012,62214,"[{""id"": 367, ""name"": ""shyness""}, {""id"": 10121, ""name"": ""stop motion""}, {""id"": 12999, ""name"": ""black and white""}, {""id"": 13038, ""name"": ""retro""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 157164, ""name"": ""animal death""}, {""id"": 158395, ""name"": ""animal lover""}]",en,Frankenweenie,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",27.908783,"[{""name"": ""Tim Burton Productions"", ""id"": 8601}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-10-04,35287788,87.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The electrifying dog is back from beyond the grave,Frankenweenie,6.6,932
75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",,3172,"[{""id"": 378, ""name"": ""prison""}]",en,Bandits,Two bank robbers fall in love with the girl they've kidnapped.,24.353302,"[{""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Empire Pictures"", ""id"": 1212}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Hyde Park Entertainment"", ""id"": 13816}, {""name"": ""Baltimore Spring Creek Productions"", ""id"": 16061}, {""name"": ""Lotus Pictures"", ""id"": 52944}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-10-12,67631903,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Two's company, three's a crime.",Bandits,6.2,302
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,12704,"[{""id"": 3593, ""name"": ""wilderness""}, {""id"": 7041, ""name"": ""sahara""}, {""id"": 9767, ""name"": ""beautiful woman""}, {""id"": 10229, ""name"": ""singer""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 187056, ""name"": ""woman director""}]",en,Ishtar,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime",2.410546,"[{""name"": ""Columbia Pictures"", ""id"": 5}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1987-05-15,14375181,107.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Ishtar,4.2,28
30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",http://www.machinegunpreacher.org/movie/,45610,"[{""id"": 3058, ""name"": ""underage soldier""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Machine Gun Preacher,"The true story of Sam Childers, a former drug-dealing biker who finds God and became a crusader for hundreds of Sudanese children who've been kidnapped and pressed into duty as soldiers.",13.268936,"[{""name"": ""Mpower Pictures"", ""id"": 5294}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""1984 Private Defense Contractors"", ""id"": 8532}, {""name"": ""Virgin Produced"", ""id"": 8852}, {""name"": ""Moonlighting Films"", ""id"": 9137}, {""name"": ""Apparatus Productions"", ""id"": 11956}, {""name"": ""GG Filmz"", ""id"": 11957}, {""name"": ""ITS Capital"", ""id"": 11958}, {""name"": ""Merlina Entertainment"", ""id"": 11959}, {""name"": ""MGP Productions"", ""id"": 11960}, {""name"": ""Safady Entertainment"", ""id"": 11961}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-09-23,2527904,129.0,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hope is the greatest weapon of all,Machine Gun Preacher,6.4,286
57000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.thespiritofvengeance.com/,71676,"[{""id"": 345, ""name"": ""monk""}, {""id"": 3023, ""name"": ""eastern europe""}, {""id"": 4062, ""name"": ""skeleton""}, {""id"": 6951, ""name"": ""biker""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 14735, ""name"": ""motorcycle""}, {""id"": 14999, ""name"": ""devil""}, {""id"": 15002, ""name"": ""dark hero""}, {""id"": 236185, ""name"": ""ghost rider""}]",en,Ghost Rider: Spirit of Vengeance,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",48.622278,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Marvel Knights"", ""id"": 11106}, {""name"": ""Hyde Park Entertainment"", ""id"": 13816}, {""name"": ""Crystal Sky Pictures"", ""id"": 20241}, {""name"": ""Michael De Luca Productions"", ""id"": 27551}]","[{""iso_3166_1"": ""AE"", ""name"": ""United Arab Emirates""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-12-10,149217355,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,He Rides Again.,Ghost Rider: Spirit of Vengeance,4.7,1135
30000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",http://www.forgettingsarahmarshall.com/,9870,"[{""id"": 1668, ""name"": ""hawaii""}, {""id"": 2864, ""name"": ""one-night stand""}, {""id"": 3258, ""name"": ""beauty""}]",en,Forgetting Sarah Marshall,"When Sarah Marshall dumps aspiring musician Peter Bretter for rock star Aldous Snow, Peter's world comes crashing down. His best friend suggests that Peter should get away from everything and to fly off to Hawaii to escape all his problems. After arriving in Hawaii and meeting the beautiful Rachel Jansen, Peter is shocked to see not only Aldous Snow in Hawaii, but also Sarah Marshall.",50.670253,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Apatow Productions"", ""id"": 10105}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-04-17,105173115,111.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"You lose some, you get some.",Forgetting Sarah Marshall,6.4,1172
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",,104896,[],en,A Dog Of Flanders,"Poor but happy, young Nello and his grandfather live alone, delivering milk as a livelihood, in the outskirts of Antwerp, a city in Flanders (the Flemish or Dutch-speaking part of modern-day Belgium). They discover a beaten dog (a Bouvier, a large sturdy dog native to Flanders) and adopt it and nurse it back to health, naming it Patrasche, the middle name of Nello's mother Mary, who died when Nello was very young. Nello's mother was a talented artist, and like his mother, he delights in drawing, and his friend Aloise is his model and greatest fan and supporter.",0.838938,[],[],1999-08-27,0,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,A Dog Of Flanders,6.4,6
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.listeningmovie.com/,331592,"[{""id"": 1328, ""name"": ""secret""}, {""id"": 1475, ""name"": ""telepathy""}, {""id"": 1576, ""name"": ""technology""}, {""id"": 3338, ""name"": ""invention""}, {""id"": 6086, ""name"": ""government""}, {""id"": 9678, ""name"": ""mind control""}, {""id"": 10085, ""name"": ""betrayal""}, {""id"": 14782, ""name"": ""trust""}, {""id"": 15017, ""name"": ""danger""}, {""id"": 18419, ""name"": ""privacy""}]",en,Listening,"For years, we have tried to harness the power of the human mind… and failed. Now, one breakthrough will change everything. Beyond technology. Beyond humanity. Beyond control. David, Ryan, and Jordan hope the telepathy invention will solve all their problems, but the bleeding-edge technology opens a Pandora’s box of new dangers, as the team discovers that when they open their minds, there is nowhere to hide their thoughts.",2.414721,"[{""name"": ""Young Medium"", ""id"": 63391}, {""name"": ""Listen Film"", ""id"": 63392}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""KH"", ""name"": ""Cambodia""}]",2015-09-11,0,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hide your thoughts.,Listening,5.5,31
80000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",,9922,"[{""id"": 279, ""name"": ""usa""}, {""id"": 3804, ""name"": ""post""}, {""id"": 4461, ""name"": ""postman""}, {""id"": 6092, ""name"": ""army""}, {""id"": 12332, ""name"": ""apocalypse""}]",en,The Postman,"In 2013 there are no highways, no I-ways, no dreams of a better tomorrow, only scattered survivors across what was once the Unites States. Into this apocalyptic wasteland comes an enigmatic drifter with a mule, a knack for Shakespeare and something yet undiscovered: the power to inspire hope.",14.564667,"[{""name"": ""Tig Productions"", ""id"": 335}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-12-25,17626234,177.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,The year is 2013. One man walked in off the horizon and hope came with him.,The Postman,6.1,299
