budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
37000000,"[{'id': 18, 'name': 'Drama'}]",http://creedthemovie.com/,312221,"[{""id"": 240, ""name"": ""underdog""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 15285, ""name"": ""spin off""}, {""id"": 17977, ""name"": ""underground fighting""}, {""id"": 186779, ""name"": ""motivational speaker""}, {""id"": 209476, ""name"": ""boxing""}]",en,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",57.773583,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Chartoff Winkler Productions"", ""id"": 88686}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-11-25,173567581,133.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Your legacy is more than a name,Creed,7.3,1915
30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",http://www.forgettingsarahmarshall.com/,9870,"[{""id"": 1668, ""name"": ""hawaii""}, {""id"": 2864, ""name"": ""one-night stand""}, {""id"": 3258, ""name"": ""beauty""}]",en,Forgetting Sarah Marshall,"When Sarah Marshall dumps aspiring musician Peter Bretter for rock star Aldous Snow, Peter's world comes crashing down. His best friend suggests that Peter should get away from everything and to fly off to Hawaii to escape all his problems. After arriving in Hawaii and meeting the beautiful Rachel Jansen, Peter is shocked to see not only Aldous Snow in Hawaii, but also Sarah Marshall.",50.670253,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Apatow Productions"", ""id"": 10105}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-04-17,105173115,111.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"You lose some, you get some.",Forgetting Sarah Marshall,6.4,1172
6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",,792,"[{""id"": 1505, ""name"": ""famous score""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 1960, ""name"": ""mine""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 5331, ""name"": ""village""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10787, ""name"": ""jungle""}, {""id"": 11314, ""name"": ""f word""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 18543, ""name"": ""combat""}, {""id"": 208992, ""name"": ""1960s""}]",en,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",49.802914,"[{""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""Hemdale Film Corporation"", ""id"": 469}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1986-12-18,138530565,120.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""vi"", ""name"": ""Ti\u1ebfng Vi\u1ec7t""}]",Released,The first casualty of war is innocence.,Platoon,7.5,1205
878000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,289,"[{""id"": 128, ""name"": ""love triangle""}, {""id"": 417, ""name"": ""corruption""}, {""id"": 470, ""name"": ""spy""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 1623, ""name"": ""casablanca""}, {""id"": 1625, ""name"": ""emigration""}, {""id"": 1626, ""name"": ""visa""}, {""id"": 1627, ""name"": ""patriotism""}, {""id"": 1628, ""name"": ""nationalism""}, {""id"": 1631, ""name"": ""concentration camp""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 6091, ""name"": ""war""}, {""id"": 10644, ""name"": ""melodrama""}, {""id"": 195402, ""name"": ""film noir""}]",en,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",43.729123,"[{""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1942-11-26,10462500,102.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They had a date with fate in Casablanca!,Casablanca,7.9,1422
20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",http://www.foxsearchlight.com/thedescendants/,65057,"[{""id"": 1668, ""name"": ""hawaii""}, {""id"": 4604, ""name"": ""father-in-law""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 11501, ""name"": ""cheating wife""}, {""id"": 34145, ""name"": ""beach house""}, {""id"": 155879, ""name"": ""boating accident""}, {""id"": 155881, ""name"": ""estate""}, {""id"": 155882, ""name"": ""dying mother""}, {""id"": 155884, ""name"": ""beautiful girl""}, {""id"": 155888, ""name"": ""teenage daughter""}, {""id"": 155891, ""name"": ""trustee""}, {""id"": 155892, ""name"": ""trust fund""}, {""id"": 155894, ""name"": ""wild girl""}, {""id"": 155896, ""name"": ""wild child""}, {""id"": 177259, ""name"": ""realtor""}]",en,The Descendants,"With his wife Elizabeth on life support after a boating accident, Hawaiian land baron, Matt King takes his daughters on a trip from Oahu to Kauai to confront the young real estate broker, who was having an affair with Elizabeth before her misfortune.",40.903931,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Ad Hominem Enterprises"", ""id"": 2361}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-09-09,177243185,115.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The South Pacific ain't that terrific.,The Descendants,6.7,934
30000000,"[{'id': 18, 'name': 'Drama'}]",http://www.thepassionofthechrist.com/,615,"[{""id"": 186, ""name"": ""christianity""}, {""id"": 835, ""name"": ""jewry""}, {""id"": 1405, ""name"": ""roman empire""}, {""id"": 2974, ""name"": ""jesus christ""}, {""id"": 3032, ""name"": ""suffering""}, {""id"": 3033, ""name"": ""apostle""}, {""id"": 3034, ""name"": ""last supper""}, {""id"": 3035, ""name"": ""roman""}, {""id"": 3036, ""name"": ""bible""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 13006, ""name"": ""torture""}]",en,The Passion of the Christ,"""The Passion of the Christ"" is a film about the last 12 hours in the life of Jesus. Director Mel Gibson received much criticism from critics and audiences for his explicit depiction of and focus on violence and on christs suffering, especially on the part of the jewish community. The films languages are Arabic, Latin and Hebrew and its actors are laymen which was controversially received as well.",38.171417,"[{""name"": ""Icon Productions"", ""id"": 152}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-02-25,611899420,127.0,"[{""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,"By his wounds, we were healed.",The Passion of the Christ,6.9,864
7400000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",,62215,"[{""id"": 11327, ""name"": ""wedding reception""}, {""id"": 14755, ""name"": ""power outage""}, {""id"": 14756, ""name"": ""destruction of planet""}, {""id"": 14757, ""name"": ""wedding toast""}]",da,Melancholia,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,36.173598,"[{""name"": ""Zentropa Entertainments"", ""id"": 76}, {""name"": ""Det Danske Filminstitut"", ""id"": 118}, {""name"": ""Danmarks Radio (DR)"", ""id"": 119}, {""name"": ""Memfis Film"", ""id"": 321}, {""name"": ""Eurimages"", ""id"": 850}, {""name"": ""Sveriges Television (SVT)"", ""id"": 3221}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Cin\u00e9Cin\u00e9ma"", ""id"": 6301}, {""name"": ""Slot Machine"", ""id"": 7777}, {""name"": ""Zentropa International Sweden"", ""id"": 8288}, {""name"": ""Zentropa International K\u00f6ln"", ""id"": 8289}, {""name"": ""Liberator Productions"", ""id"": 11239}, {""name"": ""Swedish Film Institute"", ""id"": 14804}, {""name"": ""Centre National du Cin\u00e9ma et de L'image Anim\u00e9e (CNC)"", ""id"": 17298}, {""name"": ""Film i V\u00e4st"", ""id"": 17513}, {""name"": ""Filmstiftung Nordrhein-Westfalen"", ""id"": 27897}, {""name"": ""Legion Entertainment"", ""id"": 38069}, {""name"": ""Edition Video"", ""id"": 38071}, {""name"": ""Nordisk Film Distribution"", ""id"": 38072}]","[{""iso_3166_1"": ""DK"", ""name"": ""Denmark""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""SE"", ""name"": ""Sweden""}]",2011-05-26,21817298,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Enjoy it while it lasts,Melancholia,7.0,885
12000000,"[{'id': 18, 'name': 'Drama'}]",,205220,"[{""id"": 456, ""name"": ""mother""}, {""id"": 521, ""name"": ""washington d.c.""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 2393, ""name"": ""adoption""}, {""id"": 3446, ""name"": ""forgiveness""}, {""id"": 5153, ""name"": ""son""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 11112, ""name"": ""search""}, {""id"": 14765, ""name"": ""church""}, {""id"": 14985, ""name"": ""ireland""}, {""id"": 185722, ""name"": ""based on true events""}, {""id"": 193017, ""name"": ""nuns""}]",en,Philomena,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",29.019504,"[{""name"": ""BBC Films"", ""id"": 288}, {""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Baby Cow Productions"", ""id"": 1219}, {""name"": ""Path\u00e9"", ""id"": 7981}, {""name"": ""Yucaipa Films"", ""id"": 12005}, {""name"": ""Magnolia Mae Films"", ""id"": 18188}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2013-11-01,100129872,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,These two unlikely companions are on a journey to find her long lost son.,Philomena,7.4,579
35000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,144336,"[{""id"": 10175, ""name"": ""drug cartel""}, {""id"": 186281, ""name"": ""dea""}]",en,Sabotage,"In ""Sabotage"", Arnold Schwarzenegger leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done - until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",27.903999,"[{""name"": ""Open Road Films"", ""id"": 10427}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Albert S. Ruddy Productions"", ""id"": 16311}, {""name"": ""Crave Films"", ""id"": 16312}, {""name"": ""Roth Films"", ""id"": 16314}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-03-28,17508518,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Leave no loose ends,Sabotage,5.5,555
75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",http://www.warnerbros.com/rock-ages,80585,"[{""id"": 4344, ""name"": ""musical""}, {""id"": 8900, ""name"": ""rocker""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 165100, ""name"": ""young love""}, {""id"": 165102, ""name"": ""rock sta""}]",en,Rock of Ages,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.",23.515938,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Offspring Entertainment"", ""id"": 2378}, {""name"": ""Corner Store Entertainment"", ""id"": 8871}, {""name"": ""Material Pictures"", ""id"": 12139}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-13,59418613,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Nothin' but a good time,Rock of Ages,6.0,385
